dataset,model,core,E,T,stage2,rank
CICIDS2017,LightGBM,0.999740,1.000000,0.50,0.901110,1
CICIDS2017,XGBoost,0.999651,0.870100,0.50,0.870256,2
CICIDS2017,Random Forest,0.999409,0.844900,0.50,0.863760,3
NSL-KDD,XGBoost,0.811391,0.924700,1.00,0.865044,1
NSL-KDD,Extra Trees,0.805104,0.942900,0.50,0.779782,2
NSL-KDD,LightGBM,0.796938,1.000000,0.15,0.656551,3
UNSW-NB15,XGBoost,0.929708,0.803900,1.00,0.906376,1
UNSW-NB15,LightGBM,0.928581,1.000000,0.50,0.862060,2
UNSW-NB15,Random Forest,0.925346,0.844200,0.15,0.688347,3
