dataset,best_model,validation_f1,test_f1,test_roc_auc,test_pr_auc
NSL-KDD,LightGBM,0.9994456526374141,0.767849588719154,0.9685875956818059,0.9714231320277464
UNSW-NB15,XGBoost,0.9722650231124808,0.8948060420534952,0.9837066713210165,0.9881203096081512
CICIDS2017,LightGBM,0.9995231282784931,0.9995230271874503,0.9999994106277305,0.9999951220988612
