protocol,seed,train_rows,test_rows,train_attack_ratio,test_attack_ratio,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,holdout_files
pooled_balanced_random_split,42,510000,90000,0.10483137254901961,0.10483333333333333,0.9998777777777778,0.9994700021199915,0.9993640699523052,0.9994170332291059,0.9999965847981882,0.999976349334312,80560,5,6,9429,6.206168931918326e-05,0.0006359300476947536,
pooled_balanced_random_split,123,510000,90000,0.10483137254901961,0.10483333333333333,0.9998777777777778,0.9995759117896522,0.9992580816110228,0.9994169714316001,0.9999990133276738,0.999991935244589,80561,4,7,9428,4.9649351455346615e-05,0.0007419183889772125,
pooled_balanced_random_split,2024,510000,90000,0.10483137254901961,0.10483333333333333,0.9998777777777778,0.9996818663838812,0.9991520932697403,0.9994169096209913,0.9999961835514422,0.9999652585744541,80562,3,8,9427,3.723701359150996e-05,0.0008479067302596715,
file_holdout_split,42,450000,150000,0.022344444444444445,0.35229333333333335,0.6950866666666666,0.9994378074490513,0.13456589205964725,0.23719541686819326,0.8903132216720715,0.8662742361755522,97152,4,45733,7111,4.117090040759191e-05,0.8654341079403527,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv | Wednesday-workingHours.pcap_ISCX.csv
